,vaccination_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.005797736255208292
346,0.00030763335253326097
347,0.00023796850002151567
348,0.0001443512625402845
349,7.787117364538487e-05
350,6.23324897659843e-05
351,3.880967756342179e-05
352,3.316598017729061e-05
353,6.762067865535132e-05
354,5.568151830568798e-05
355,5.0526645102607526e-05
356,4.0883477127879444e-05
357,2.6974207191981328e-05
358,1.5449806755209513e-05
359,1.211691459804543e-05
360,2.9151696734661863e-05
361,2.5329980394447047e-05
362,3.449913704015624e-05
363,2.620393878232563e-05
364,3.226239608134834e-05
365,0.00015732732267217665
366,4.674936732448823e-05
367,3.832085338037106e-05
368,3.208464183296626e-05
369,4.436449782536193e-05
370,5.9784678872507765e-05
371,6.0199438785399295e-05
372,2.4618963400918707e-05
373,1.2768680175446406e-05
374,5.645178671534368e-05
375,4.6823431594647434e-05
376,7.24941076318268e-05
377,8.364818671780262e-05
378,7.07313780020378e-05
379,4.2157382574617713e-05
380,2.8366615470974325e-05
381,9.680200109807687e-05
382,0.00018385714424320278
383,0.0002243703000202862
384,0.00023503555492321128
385,0.00022654778956296675
386,0.0001520243209287778
387,0.00013593756145019914
388,0.0002734897239898689
389,0.0003898298795559432
390,0.00046827875450856986
391,0.0005231751915505703
392,0.0004854616651855047
393,0.0004047167978579428
394,0.000291576218762746
395,0.00041893713772850956
396,0.0007601067917898572
397,0.0010139398584794739
398,0.0010399512301593856
399,0.0008409553490956419
400,0.000467523298952946
401,0.00029982697845848107
402,0.0005745609821870245
403,0.001080182941709864
404,0.0014392465234416747
405,0.0013859350617810814
406,0.001298731790095637
407,0.0007725644020306349
408,0.00037581691964182223
409,0.0007905027682631936
410,0.0014190566033962764
411,0.0017717506578943957
412,0.001955533737867439
413,0.0018623460731531315
414,0.0013624418752865824
415,0.000779333876323186
416,0.0012190978868204631
417,0.002505668323755959
418,0.003594220527993813
419,0.0034718663536908115
420,0.0042017252975476505
421,0.0035382131268994247
422,0.002186288377975449
423,0.002491966433776507
424,0.0041132629332695
425,0.005741077088536503
426,0.006597882191446214
427,0.0036533090027268244
428,0.0026502121533986574
429,0.0007066916401510408
430,0.00095676224191657
431,0.0027669374431695598
432,0.006049510335187483
433,0.006654956118030895
434,0.006667798862476501
435,0.0070395126215515025
436,0.0028094799599490054
437,0.0029802129155199974
438,0.004631757262946009
439,0.0050924073976281806
440,0.006187077310581185
441,0.007401449896965491
442,0.007401020324198567
443,0.0032764996218648686
444,0.004055033604070335
445,0.005184898858202992
446,0.00617376055480656
447,0.0063853769875054315
448,0.006888199317616253
449,0.008112052130580936
450,0.0038632071443580026
451,0.004513298869253381
452,0.0056179970843859405
453,0.006856647938528433
454,0.007281510217869679
455,0.006247839637819794
456,0.0055148848074703
